fecha,Volumen
2015-11-06,16.35
2015-11-07,29.5
2015-11-08,34.5
2015-11-09,1
2015-11-10,11.45
2015-11-11,8
2015-11-12,11
2015-11-13,9.85
2015-11-14,14.9
2015-11-15,34.7
2015-11-16,21
2015-11-17,11.35
2015-11-18,10.25
2015-11-19,5
2015-11-20,17
2015-11-21,14
2015-11-22,30.35
2015-11-23,7.8
2015-11-24,6.55
2015-11-25,14.5
2015-11-26,4
2015-11-27,20.85
2015-11-28,36.45
2015-11-29,37.3
2015-11-30,6.5
2015-12-01,10.75
2015-12-02,9
2015-12-03,8.45
2015-12-04,13.25
2015-12-05,31.8
2015-12-06,42.216
2015-12-07,6.25
2015-12-08,14.405
2015-12-09,3.75
2015-12-10,15.25
2015-12-11,25
2015-12-12,19.15
2015-12-13,24.65
2015-12-14,12.45
2015-12-15,9.5
2015-12-16,19.3
2015-12-17,27.85
2015-12-18,14.2
2015-12-19,29.05
2015-12-20,40.9
2015-12-21,9.8
2015-12-22,6.05
2015-12-23,17.935
2015-12-24,16.75
2015-12-26,9
2015-12-27,32.05
2015-12-28,12.3
2015-12-29,12.5
2015-12-30,14.825
2015-12-31,7.5
2016-01-02,14.85
2016-01-03,54.3
2016-01-05,6.5
2016-01-08,9.155
2016-01-09,21
2016-01-10,41.045
2016-01-11,5.16
2016-01-12,6.12
2016-01-13,11.5
2016-01-14,7.35
2016-01-15,17.45
2016-01-16,33.27
2016-01-17,44.8
2016-01-18,7.2
2016-01-19,2.3
2016-01-20,2.25
2016-01-21,3.7
2016-01-22,13.8
2016-01-23,21.685
2016-01-24,41.695
2016-01-25,4.9
2016-01-26,7.55
2016-01-27,9.3
2016-01-28,7.5
2016-01-29,17.94
2016-01-30,23.63
2016-01-31,36.345
2016-02-01,20.6
2016-02-02,4.035
2016-02-03,10.375
2016-02-04,10.815
2016-02-05,12.635
2016-02-06,23.46
2016-02-07,52.37
2016-02-08,9.36
2016-02-09,11.5
2016-02-10,5.5
2016-02-11,13.445
2016-02-12,2.5
2016-02-13,29.859
2016-02-14,52.01
2016-02-15,3.5
2016-02-16,7.5
2016-02-17,7.93
2016-02-18,7.55
2016-02-19,10.7
2016-02-20,31.061
2016-02-21,40.25
2016-02-22,8.05
2016-02-23,8
2016-02-24,11.705
2016-02-25,6.45
2016-02-26,9.88
2016-02-27,49.1
2016-02-28,49.075
2016-02-29,7.75
2016-03-01,7.95
2016-03-02,5
2016-03-03,10.75
2016-03-04,6.558
2016-03-05,53.18
2016-03-06,60.551
2016-03-07,8.8
2016-03-08,8.25
2016-03-09,4.975
2016-03-10,11.9
2016-03-11,20.6
2016-03-12,35.227
2016-03-13,55.25
2016-03-14,9.95
2016-03-15,17.902
2016-03-17,10.4
2016-03-18,9.75
2016-03-19,53.97
2016-03-20,42.52
2016-03-21,14.635
2016-03-22,15
2016-03-23,9.948
2016-03-26,38.455
2016-03-27,61.86
2016-03-28,11.75
2016-03-29,5.6
2016-03-30,4
2016-03-31,12.95
2016-04-01,7.8
2016-04-02,33.945
2016-04-03,44
2016-04-04,9.175
2016-04-05,4.95
2016-04-06,1
2016-04-07,5.5
2016-04-08,15.7
2016-04-09,31.54
2016-04-10,38.775
2016-04-11,9.35
2016-04-12,3
2016-04-13,7.55
2016-04-14,13.25
2016-04-15,21.5
2016-04-16,20.4
2016-04-17,29.57
2016-04-18,7.2
2016-04-19,5.545
2016-04-20,2
2016-04-21,5
2016-04-22,23.45
2016-04-23,30.6
2016-04-24,55.9
2016-04-25,5.25
2016-04-26,7
2016-04-27,8
2016-04-28,13
2016-04-29,7.5
2016-04-30,33.27
2016-05-01,50.9
2016-05-02,7.4
2016-05-03,7.75
2016-05-04,6.75
2016-05-05,10.6
2016-05-06,14
2016-05-07,30.25
2016-05-08,31.35
2016-05-09,7.05
2016-05-10,74.375
2016-05-12,3
2016-05-13,12.365
2016-05-14,29.1
2016-05-15,53.61
2016-05-16,8.35
2016-05-17,3.35
2016-05-18,3.25
2016-05-19,13.95
2016-05-20,19.35
2016-05-21,26.5
2016-05-22,28.64
2016-05-23,8.89
2016-05-24,9.25
2016-05-25,1.175
2016-05-26,7.45
2016-05-27,16.75
2016-05-28,25.8
2016-05-29,49.923
2016-05-30,10.837
2016-05-31,15.735
2016-06-01,12
2016-06-02,15
2016-06-03,28
2016-06-04,22.26
2016-06-05,58.95
2016-06-06,6.5
2016-06-07,5.5
2016-06-08,9
2016-06-09,9.5
2016-06-10,25.4
2016-06-11,38.48
2016-06-12,49.23
2016-06-13,3.25
2016-06-14,3
2016-06-15,4.75
2016-06-16,13
2016-06-17,12.1
2016-06-18,26.8
2016-06-19,103.07
2016-06-20,10.45
2016-06-21,6.6
2016-06-22,7.7
2016-06-23,8.5
2016-06-24,12.15
2016-06-25,24.8
2016-06-26,43
2016-06-27,11.2
2016-06-28,11.82
2016-06-29,3
2016-06-30,10.095
2016-07-01,29.47
2016-07-02,22.47
2016-07-03,55
2016-07-04,13.6
2016-07-05,10.06
2016-07-06,4.75
2016-07-07,12.3
2016-07-08,21.8
2016-07-09,24.45
2016-07-10,49.1
2016-07-11,9
2016-07-12,10.5
2016-07-13,1.75
2016-07-14,16.25
2016-07-15,12.8
2016-07-16,31.537
2016-07-17,33.93
2016-07-18,10.2
2016-07-19,14.1
2016-07-20,0.9
2016-07-21,8
2016-07-22,20.55
2016-07-23,26.55
2016-07-24,53.92
2016-07-25,11.16
2016-07-26,4.5
2016-07-27,5
2016-07-28,6
2016-07-29,23.75
2016-07-30,36.4
2016-07-31,42.675
2016-08-01,6.1
2016-08-02,6.225
2016-08-03,4.5
2016-08-04,14
2016-08-05,16.5
2016-08-06,33.75
2016-08-07,46.435
2016-08-08,7.35
2016-08-09,8.2
2016-08-10,1
2016-08-11,17.7
2016-08-12,15.3
2016-08-13,24.05
2016-08-14,35.415
2016-08-15,5.5
2016-08-16,10.63
2016-08-17,1.5
2016-08-18,8.3
2016-08-19,5.2
2016-08-20,15.5
2016-08-21,65.16
2016-08-22,7.25
2016-08-23,2.5
2016-08-24,0.7
2016-08-25,7.8
2016-08-26,9.8
2016-08-27,33.78
2016-08-28,53.7
2016-08-29,3.8
2016-08-30,5.5
2016-08-31,3.7
2016-09-01,18.95
2016-09-02,15.8
2016-09-03,20.12
2016-09-04,53.55
2016-09-05,6.7
2016-09-06,9.85
2016-09-07,4.1
2016-09-08,5.25
2016-09-09,15.45
2016-09-10,35
2016-09-11,51.2
2016-09-12,15.5
2016-09-13,8.25
2016-09-14,3.55
2016-09-15,26
2016-09-16,46
2016-09-17,52.41
2016-09-19,5.5
2016-09-20,7
2016-09-21,5.2
2016-09-22,7.865
2016-09-23,13.1
2016-09-24,36.6
2016-09-25,55.8
2016-09-26,3
2016-09-27,3.75
2016-09-28,8
2016-09-29,13.32
2016-09-30,8.175
2016-10-01,31.25
2016-10-02,47.05
2016-10-03,3
2016-10-04,4
2016-10-05,19.5
2016-10-06,9.8
2016-10-07,20.95
2016-10-08,26.9
2016-10-09,40.24
2016-10-10,10.8
2016-10-11,12.7
2016-10-12,11.38
2016-10-13,12.1
2016-10-14,17.315
2016-10-15,31.45
2016-10-16,43.85
2016-10-17,7.365
2016-10-18,6.909
2016-10-19,9.55
2016-10-20,6.04
2016-10-21,8.85
2016-10-22,25.01
2016-10-23,53.3
2016-10-24,2.6
2016-10-25,7.55
2016-10-26,16.5
2016-10-27,6
2016-10-28,20.85
2016-10-29,35.11
2016-10-30,45.43
2016-10-31,16.38
2016-11-01,12.9
2016-11-02,32.15
2016-11-03,6.5
2016-11-04,13.35
2016-11-05,28.81
2016-11-06,36.45
2016-11-07,7.15
2016-11-08,12.5
2016-11-09,11.75
2016-11-10,4.35
2016-11-11,4.5
2016-11-12,29.68
2016-11-13,50.8
2016-11-14,5.75
2016-11-15,10.5
2016-11-16,10.3
2016-11-17,8
2016-11-18,10.75
2016-11-19,6.25
2016-11-20,19.55
2016-11-21,8
2016-11-22,4.5
2016-11-23,14.25
2016-11-24,10.9
2016-11-25,5.25
2016-11-26,26.625
2016-11-27,47.65
2016-11-28,10.45
2016-11-29,10.55
2016-11-30,12.35
2016-12-01,20.24
2016-12-02,13.25
2016-12-03,35.5
2016-12-04,51.75
2016-12-05,10.98
2016-12-06,9.3
2016-12-07,7.2
2016-12-08,3.85
2016-12-09,11.05
2016-12-10,21.41
2016-12-11,39.3
2016-12-12,10.55
2016-12-13,11.75
2016-12-14,12.35
2016-12-15,7.5
2016-12-16,12.25
2016-12-17,27.5
2016-12-18,40.65
2016-12-19,12
2016-12-20,8.25
2016-12-21,20.35
2016-12-22,12.5
2016-12-23,18.04
2016-12-24,23.2
2016-12-26,21.84
2016-12-27,17
2016-12-28,17.15
2016-12-29,26.5
2016-12-30,12
2016-12-31,22.91
2017-01-02,32.25
2017-01-03,15.9
2017-01-04,14.13
2017-01-05,13.62
2017-01-06,15.45
2017-01-07,26.5
2017-01-08,34.75
2017-01-09,6.35
2017-01-10,5.87
2017-01-11,15.75
2017-01-12,10.25
2017-01-13,15.8
2017-01-14,42.45
2017-01-15,47.85
2017-01-16,6.5
2017-01-17,6.2
2017-01-18,6.5
2017-01-19,10
2017-01-20,18.84
2017-01-21,37.45
2017-01-22,53.75
2017-01-23,4.95
2017-01-24,7
2017-01-25,4.2
2017-01-26,5.75
2017-01-27,27.35
2017-01-28,34.15
2017-01-29,55.7
2017-01-30,7
2017-01-31,5
2017-02-01,7.5
2017-02-02,7.7
2017-02-03,17.75
2017-02-04,23.1
2017-02-05,37.5
2017-02-06,30
2017-02-07,4.5
2017-02-08,9
2017-02-09,21.8
2017-02-10,13.75
2017-02-11,27.7
2017-02-12,30.75
2017-02-13,4.84
2017-02-14,17.3
2017-02-15,9.31
2017-02-16,5
2017-02-17,15.2
2017-02-18,39.4
2017-02-19,46.7
2017-02-20,12.305
2017-02-21,10.25
2017-02-22,13.2
2017-02-23,9.635
2017-02-24,15.821
2017-02-25,23.887
2017-02-26,48.59
2017-02-27,9.7
2017-02-28,5.3
2017-03-01,7.6
2017-03-02,5
2017-03-03,9.345
2017-03-04,10.281
2017-03-05,46.579
2017-03-06,4
2017-03-07,3.67
2017-03-08,14.75
2017-03-09,11.95
2017-03-10,3.05
2017-03-11,28.413
2017-03-12,39.993
2017-03-13,9.13
2017-03-14,3.3
2017-03-15,13.5
2017-03-16,11.753
2017-03-17,4.135
2017-03-18,21.556
2017-03-19,31.8
2017-03-20,25.7
2017-03-21,8.7
2017-03-22,10.507
2017-03-23,10.79
2017-03-24,6
2017-03-25,29.27
2017-03-26,40.1
2017-03-27,3.5
2017-03-28,3.5
2017-03-29,8.53
2017-03-30,6.525
2017-03-31,6.653
2017-04-01,34.663
2017-04-02,40.241
2017-04-03,5.95
2017-04-04,13.65
2017-04-05,11.7
2017-04-06,12.453
2017-04-07,10.7
2017-04-08,24.005
2017-04-09,45.57
2017-04-10,15.4
2017-04-11,6.6
2017-04-12,21.45
2017-04-15,19.7
2017-04-16,37.406
2017-04-17,4.25
2017-04-18,9.25
2017-04-19,8
2017-04-20,10.5
2017-04-21,8.4
2017-04-22,19.095
2017-04-23,52.35
2017-04-24,11.25
2017-04-25,10.45
2017-04-26,7
2017-04-27,13.5
2017-04-28,16.423
2017-04-29,37.655
2017-04-30,40.4
